customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_segment,cluster,segment
405-1039211-2516827,65,1,1976.58,3,1,3,7,313,1,Occasional Buyers
405-1039482-8215060,13,1,2206.71,5,1,3,9,513,0,Regular Customers
405-1039957-8920522,103,1,836.89,1,1,1,3,111,1,Occasional Buyers
405-1040031-5333747,21,1,301.0,5,1,1,7,511,0,Regular Customers
405-1040054-7136374,54,1,2083.35,3,1,3,7,313,0,Regular Customers
405-1040278-3768426,65,1,1032.87,3,1,2,6,312,1,Occasional Buyers
405-1040438-5089037,77,1,2670.8,2,1,4,7,214,1,Occasional Buyers
405-1040590-3056166,23,1,625.6,5,1,1,7,511,0,Regular Customers
405-1040960-7563760,98,1,1472.62,2,1,2,5,212,1,Occasional Buyers
405-1041285-8923455,60,1,1957.82,3,1,3,7,313,0,Regular Customers
405-1041517-2344189,9,1,450.88,5,1,1,7,511,0,Regular Customers
405-1041687-5062786,2,1,397.85,5,1,1,7,511,0,Regular Customers
405-1041733-7240689,109,1,1084.34,1,1,2,4,112,1,Occasional Buyers
405-1041865-3055978,47,1,6998.82,4,1,5,10,415,2,High Value Customers
405-1042066-6569937,37,1,1254.63,4,1,2,7,412,0,Regular Customers
405-1042184-8024727,23,1,3215.68,5,1,4,10,514,0,Regular Customers
405-1042355-8070636,53,1,3749.16,3,1,5,9,315,0,Regular Customers
405-1042547-9759556,66,1,5390.76,3,1,5,9,315,2,High Value Customers
405-1042643-8786523,44,1,583.55,4,1,1,6,411,0,Regular Customers
405-1042733-2546716,85,1,2083.35,2,1,3,6,213,1,Occasional Buyers
405-1042742-9920497,119,1,1546.61,1,1,2,4,112,1,Occasional Buyers
405-1042920-6810290,92,1,1883.96,2,1,3,6,213,1,Occasional Buyers
405-1043369-9563058,50,1,2495.43,3,1,4,8,314,0,Regular Customers
405-1043676-8188783,2,1,1426.05,5,1,2,8,512,0,Regular Customers
405-1043814-1376518,104,1,745.18,1,1,1,3,111,1,Occasional Buyers
405-1044103-9851956,89,1,2381.06,2,1,3,6,213,1,Occasional Buyers
405-1044324-5350855,46,1,1860.41,4,1,3,8,413,0,Regular Customers
405-1044998-4741717,89,1,237.78,2,1,1,4,211,1,Occasional Buyers
405-1045873-7228109,16,1,411.16,5,1,1,7,511,0,Regular Customers
405-1045999-9244767,87,1,443.44,2,1,1,4,211,1,Occasional Buyers
405-1046573-4892507,74,1,4930.14,3,1,5,9,315,2,High Value Customers
405-1046623-2250773,36,1,958.12,4,1,1,6,411,0,Regular Customers
405-1046842-4018456,46,1,3953.18,4,1,5,10,415,0,Regular Customers
405-1046902-2207090,31,1,688.02,4,1,1,6,411,0,Regular Customers
405-1047392-7473909,29,1,2843.08,4,1,4,9,414,0,Regular Customers
405-1047412-1593246,102,1,3786.7,1,1,5,7,115,1,Occasional Buyers
405-1047675-8977060,117,1,2721.53,1,1,4,6,114,1,Occasional Buyers
405-1047686-5351409,118,1,3774.6,1,1,5,7,115,1,Occasional Buyers
405-1047775-8824084,87,1,3001.58,2,1,4,7,214,1,Occasional Buyers
405-1047853-5989641,8,1,2679.67,5,1,4,10,514,0,Regular Customers
405-1048578-6599162,32,1,508.38,4,1,1,6,411,0,Regular Customers
405-1048937-2713419,51,1,5556.4,3,1,5,9,315,2,High Value Customers
405-1049589-4397016,116,1,2135.7,1,1,3,5,113,1,Occasional Buyers
405-1049613-4174427,39,1,1563.03,4,1,2,7,412,0,Regular Customers
405-1049657-3650485,61,1,2737.41,3,1,4,8,314,0,Regular Customers
405-1050221-1189856,51,1,1377.67,3,1,2,6,312,0,Regular Customers
405-1050367-1191371,85,1,2582.42,2,1,4,7,214,1,Occasional Buyers
405-1050560-7737926,92,1,2479.69,2,1,4,7,214,1,Occasional Buyers
405-1050588-3851710,3,1,1833.19,5,1,3,9,513,0,Regular Customers
405-1050812-6628710,64,1,2897.82,3,1,4,8,314,1,Occasional Buyers
405-1050984-5085337,77,1,1828.81,2,1,3,6,213,1,Occasional Buyers
405-1051256-9946772,121,1,2416.01,1,1,4,6,114,1,Occasional Buyers
405-1051310-6109413,5,1,1014.64,5,1,1,7,511,0,Regular Customers
405-1051404-2949414,81,1,2452.1,2,1,4,7,214,1,Occasional Buyers
405-1051775-8121463,57,1,3689.24,3,1,5,9,315,0,Regular Customers
405-1051999-2857057,15,1,497.29,5,1,1,7,511,0,Regular Customers
405-1052016-5314819,42,1,1373.05,4,1,2,7,412,0,Regular Customers
405-1052900-4162952,40,1,236.38,4,1,1,6,411,0,Regular Customers
405-1052970-2266504,63,1,2481.28,3,1,4,8,314,1,Occasional Buyers
405-1053838-9713501,108,1,2877.34,1,1,4,6,114,1,Occasional Buyers
405-1053879-6151414,71,1,1310.46,3,1,2,6,312,1,Occasional Buyers
405-1053973-3514004,58,1,2006.24,3,1,3,7,313,0,Regular Customers
405-1054046-4230948,64,1,368.95,3,1,1,5,311,1,Occasional Buyers
405-1054397-5743823,56,1,2370.96,3,1,3,7,313,0,Regular Customers
405-1054536-8807804,9,1,2154.7,5,1,3,9,513,0,Regular Customers
405-1054645-3273186,2,1,2077.52,5,1,3,9,513,0,Regular Customers
405-1054770-5276019,113,1,4188.0,1,1,5,7,115,1,Occasional Buyers
405-1054790-8073507,93,1,2083.35,2,1,3,6,213,1,Occasional Buyers
405-1054879-4027048,65,1,4008.92,3,1,5,9,315,2,High Value Customers
405-1055704-4529906,102,1,6639.78,1,1,5,7,115,2,High Value Customers
405-1055782-6565844,55,1,2083.35,3,1,3,7,313,0,Regular Customers
405-1055838-5019005,114,1,1735.31,1,1,2,4,112,1,Occasional Buyers
405-1055908-6809125,104,1,1105.05,1,1,2,4,112,1,Occasional Buyers
405-1056366-8282362,81,1,1077.15,2,1,2,5,212,1,Occasional Buyers
405-1056659-8794776,103,1,2806.85,1,1,4,6,114,1,Occasional Buyers
405-1056988-5790771,30,1,1912.05,4,1,3,8,413,0,Regular Customers
405-1057416-3684581,81,1,5279.4,2,1,5,8,215,2,High Value Customers
405-1057696-2631822,69,1,2021.25,3,1,3,7,313,1,Occasional Buyers
405-1057772-4740339,37,1,2876.6,4,1,4,9,414,0,Regular Customers
405-1057779-8962778,104,1,1880.49,1,1,3,5,113,1,Occasional Buyers
405-1057824-7038490,36,1,681.75,4,1,1,6,411,0,Regular Customers
405-1057831-1883773,28,1,4845.16,4,1,5,10,415,2,High Value Customers
405-1057988-4447004,33,1,1534.22,4,1,2,7,412,0,Regular Customers
405-1058099-8291268,100,1,1212.64,1,1,2,4,112,1,Occasional Buyers
405-1058456-9586238,42,1,411.15,4,1,1,6,411,0,Regular Customers
405-1058521-2128152,39,1,7215.75,4,1,5,10,415,2,High Value Customers
405-1059003-6767244,101,1,1065.88,1,1,2,4,112,1,Occasional Buyers
405-1059056-9236190,100,1,3068.16,1,1,4,6,114,1,Occasional Buyers
405-1059185-8614942,36,1,901.01,4,1,1,6,411,0,Regular Customers
405-1059557-4432910,73,1,486.74,3,1,1,5,311,1,Occasional Buyers
405-1060544-5079395,30,1,2431.98,4,1,4,9,414,0,Regular Customers
405-1061127-8879109,60,1,1489.33,3,1,2,6,312,0,Regular Customers
405-1061222-7455090,106,1,8188.97,1,1,5,7,115,2,High Value Customers
405-1061286-5002966,45,1,2753.57,4,1,4,9,414,0,Regular Customers
405-1061446-3643774,121,1,962.96,1,1,1,3,111,1,Occasional Buyers
405-1061919-3774640,21,1,2031.24,5,1,3,9,513,0,Regular Customers
405-1062239-1264315,122,1,708.04,1,1,1,3,111,1,Occasional Buyers
405-1062323-4130750,37,1,6593.97,4,1,5,10,415,2,High Value Customers
405-1062334-2774873,22,1,2253.6,5,1,3,9,513,0,Regular Customers
405-1062346-2822849,15,1,5071.22,5,1,5,11,515,2,High Value Customers
405-1062401-5898511,51,1,5878.65,3,1,5,9,315,2,High Value Customers
405-1062507-5439407,98,1,2171.11,2,1,3,6,213,1,Occasional Buyers
405-1062696-9607330,29,1,2419.4,4,1,4,9,414,0,Regular Customers
405-1062701-7933388,62,1,1783.7,3,1,3,7,313,1,Occasional Buyers
405-1062962-7158208,54,1,1096.79,3,1,2,6,312,0,Regular Customers
405-1063550-4110357,95,1,703.86,2,1,1,4,211,1,Occasional Buyers
405-1063572-3840428,35,1,2361.79,4,1,3,8,413,0,Regular Customers
405-1063745-9653199,39,1,5942.92,4,1,5,10,415,2,High Value Customers
405-1064399-6940254,4,1,2581.65,5,1,4,10,514,0,Regular Customers
405-1064533-1168352,36,1,2159.53,4,1,3,8,413,0,Regular Customers
405-1065207-3440346,56,1,1874.01,3,1,3,7,313,0,Regular Customers
405-1065312-3735636,7,1,1805.28,5,1,3,9,513,0,Regular Customers
405-1065321-7466895,100,1,3488.9,1,1,4,6,114,1,Occasional Buyers
405-1065330-4959767,28,1,1133.34,4,1,2,7,412,0,Regular Customers
405-1065370-2822189,111,1,5917.71,1,1,5,7,115,2,High Value Customers
405-1065501-5390973,121,1,1276.52,1,1,2,4,112,1,Occasional Buyers
405-1065750-5761380,4,1,1604.81,5,1,2,8,512,0,Regular Customers
405-1065792-7236101,21,1,2083.35,5,1,3,9,513,0,Regular Customers
405-1066298-2712368,43,1,1764.5,4,1,2,7,412,0,Regular Customers
405-1066783-8207803,106,1,2453.58,1,1,4,6,114,1,Occasional Buyers
405-1067647-5699512,95,1,1513.77,2,1,2,5,212,1,Occasional Buyers
405-1067807-9808241,103,1,614.72,1,1,1,3,111,1,Occasional Buyers
405-1068182-8032433,55,1,2851.59,3,1,4,8,314,0,Regular Customers
405-1068323-9714793,73,1,456.59,3,1,1,5,311,1,Occasional Buyers
405-1068389-2540382,60,1,2267.81,3,1,3,7,313,0,Regular Customers
405-1069324-6037089,54,1,1717.4,3,1,2,6,312,0,Regular Customers
405-1069334-7435174,49,1,1160.42,4,1,2,7,412,0,Regular Customers
405-1069596-8099557,111,1,1373.41,1,1,2,4,112,1,Occasional Buyers
405-1069611-4532014,107,1,2992.78,1,1,4,6,114,1,Occasional Buyers
405-1069949-4579308,26,1,1507.35,4,1,2,7,412,0,Regular Customers
405-1070138-1215323,12,1,1545.36,5,1,2,8,512,0,Regular Customers
405-1070274-8175241,13,1,2083.35,5,1,3,9,513,0,Regular Customers
405-1070892-9103743,60,1,2517.83,3,1,4,8,314,0,Regular Customers
405-1070912-4996600,88,1,2546.06,2,1,4,7,214,1,Occasional Buyers
405-1071114-3898795,49,1,1574.64,4,1,2,7,412,0,Regular Customers
405-1071116-4916284,81,1,1656.78,2,1,2,5,212,1,Occasional Buyers
405-1071231-6925470,99,1,2083.35,1,1,3,5,113,1,Occasional Buyers
405-1071308-9401201,119,1,3989.44,1,1,5,7,115,1,Occasional Buyers
405-1071524-5841996,122,1,2828.49,1,1,4,6,114,1,Occasional Buyers
405-1071528-3711211,83,1,2894.07,2,1,4,7,214,1,Occasional Buyers
405-1071627-1806977,52,1,2161.8,3,1,3,7,313,0,Regular Customers
405-1071840-2494323,103,1,515.04,1,1,1,3,111,1,Occasional Buyers
405-1072266-3479202,110,1,2732.0,1,1,4,6,114,1,Occasional Buyers
405-1072270-5046096,34,1,5873.68,4,1,5,10,415,2,High Value Customers
405-1072623-3560407,14,1,1794.64,5,1,3,9,513,0,Regular Customers
405-1072654-5579722,103,1,8188.97,1,1,5,7,115,2,High Value Customers
405-1072937-4446748,59,1,2898.89,3,1,4,8,314,0,Regular Customers
405-1073280-2133600,54,1,4373.6,3,1,5,9,315,2,High Value Customers
405-1073332-5306206,75,1,2440.2,2,1,4,7,214,1,Occasional Buyers
405-1073587-3691344,39,1,8188.97,4,1,5,10,415,2,High Value Customers
405-1073999-7926328,42,1,8188.97,4,1,5,10,415,2,High Value Customers
405-1074119-4083486,4,1,2518.12,5,1,4,10,514,0,Regular Customers
405-1074317-9108739,29,1,2832.56,4,1,4,9,414,0,Regular Customers
405-1074468-7741537,51,1,367.92,3,1,1,5,311,0,Regular Customers
405-1074682-3348011,121,1,2710.11,1,1,4,6,114,1,Occasional Buyers
405-1074700-7073285,54,1,8188.97,3,1,5,9,315,2,High Value Customers
405-1074789-4918018,109,1,1156.2,1,1,2,4,112,1,Occasional Buyers
405-1075809-8468501,68,1,207.99,3,1,1,5,311,1,Occasional Buyers
405-1075988-9775171,3,1,5423.94,5,1,5,11,515,2,High Value Customers
405-1076296-2839519,17,1,2083.35,5,1,3,9,513,0,Regular Customers
405-1076770-6027822,26,1,2268.15,4,1,3,8,413,0,Regular Customers
405-1078012-7190319,107,1,423.28,1,1,1,3,111,1,Occasional Buyers
405-1078029-2000522,95,1,2495.83,2,1,4,7,214,1,Occasional Buyers
405-1078046-5005111,22,1,1170.17,5,1,2,8,512,0,Regular Customers
405-1079397-1770948,43,1,1383.11,4,1,2,7,412,0,Regular Customers
405-1079829-2186450,104,1,3108.2,1,1,4,6,114,1,Occasional Buyers
405-1079956-1955106,53,1,1049.01,3,1,2,6,312,0,Regular Customers
405-1080098-4920810,15,1,2076.3,5,1,3,9,513,0,Regular Customers
405-1080135-7361944,24,1,7923.06,5,1,5,11,515,2,High Value Customers
405-1080396-3253553,48,1,739.19,4,1,1,6,411,0,Regular Customers
405-1080591-3633416,104,1,2439.26,1,1,4,6,114,1,Occasional Buyers
405-1080779-3979494,41,1,1668.18,4,1,2,7,412,0,Regular Customers
405-1080930-3294745,32,1,466.78,4,1,1,6,411,0,Regular Customers
405-1081048-5298539,75,1,573.94,2,1,1,4,211,1,Occasional Buyers
405-1082039-8202468,105,1,2756.36,1,1,4,6,114,1,Occasional Buyers
405-1082196-4398126,86,1,5273.94,2,1,5,8,215,2,High Value Customers
405-1082379-7539502,14,1,4360.04,5,1,5,11,515,0,Regular Customers
405-1082429-8371869,108,1,4340.02,1,1,5,7,115,1,Occasional Buyers
405-1082483-3441138,107,1,4834.48,1,1,5,7,115,2,High Value Customers
405-1082890-3164921,42,1,4844.98,4,1,5,10,415,2,High Value Customers
405-1083056-6837462,119,1,2258.89,1,1,3,5,113,1,Occasional Buyers
405-1083200-4608409,73,1,353.16,3,1,1,5,311,1,Occasional Buyers
405-1083473-1532791,113,1,2994.71,1,1,4,6,114,1,Occasional Buyers
405-1083542-4081535,110,1,2969.07,1,1,4,6,114,1,Occasional Buyers
405-1084023-6295693,5,1,1114.98,5,1,2,8,512,0,Regular Customers
405-1084592-4856145,9,1,674.88,5,1,1,7,511,0,Regular Customers
405-1084620-1266267,14,1,2897.06,5,1,4,10,514,0,Regular Customers
405-1084688-2297169,23,1,2652.07,5,1,4,10,514,0,Regular Customers
405-1084764-9241447,16,1,832.3,5,1,1,7,511,0,Regular Customers
405-1084830-6504475,89,1,2804.28,2,1,4,7,214,1,Occasional Buyers
405-1084957-1707416,94,1,5893.52,2,1,5,8,215,2,High Value Customers
405-1085626-3887634,118,1,1050.59,1,1,2,4,112,1,Occasional Buyers
405-1085647-3215043,69,1,2501.4,3,1,4,8,314,1,Occasional Buyers
405-1085916-6080942,111,1,548.29,1,1,1,3,111,1,Occasional Buyers
405-1085944-2810406,52,1,2642.54,3,1,4,8,314,0,Regular Customers
405-1085957-2183198,69,1,5913.26,3,1,5,9,315,2,High Value Customers
405-1086186-5030321,99,1,5595.5,1,1,5,7,115,2,High Value Customers
405-1086239-6708499,45,1,2637.86,4,1,4,9,414,0,Regular Customers
405-1086257-5403693,35,1,2220.76,4,1,3,8,413,0,Regular Customers
405-1086273-9283062,57,1,8188.97,3,1,5,9,315,2,High Value Customers
405-1087588-9677623,18,1,2083.35,5,1,3,9,513,0,Regular Customers
405-1087704-1494860,34,1,3357.84,4,1,4,9,414,0,Regular Customers
